gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargesPerMonth,ChargeDiff,ChargeDiffPerc,tenure_group,NumServices,HasInternet,ChurnFlag,gender_Male
Female,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,No,29.85,0.0,0.0,0-12,1,1,0,0
Male,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,No,55.5735294117647,-46.80000000000018,-0.024768457263826506,24-48,3,1,0,1
Male,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,Yes,54.075,0.45000000000000284,0.004160887656033313,0-12,3,1,1,1
Male,0,0,0,45,0,0,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,No,40.90555555555556,-62.74999999999977,-0.03408936574765708,24-48,3,1,0,1
Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,Yes,75.825,10.25,0.06758984503791625,0-12,1,1,1,0
Female,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,Yes,102.5625,23.299999999999955,0.02839731870810476,0-12,5,1,1,0
Male,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,No,88.60909090909091,-10.799999999999727,-0.005540166204986009,12-24,4,1,0,1
Female,0,0,0,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,No,30.189999999999998,4.399999999999977,0.014574362371646166,0-12,1,1,0,0
Female,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,Yes,108.78750000000001,111.65000000000009,0.0366540273468919,24-48,6,1,1,0
Male,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,No,56.25725806451613,6.650000000000091,0.0019065640275806968,48+,3,1,0,1
Male,0,1,1,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,No,45.18846153846154,-61.89999999999998,-0.10537066984424201,12-24,2,1,0,1
Male,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,No,20.425,23.600000000000023,0.07221542227662185,12-24,1,0,0,1
Male,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,No,97.95,-139.1999999999989,-0.024502297090352027,48+,5,1,0,1
Male,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,Yes,102.78163265306122,-45.0,-0.008935130949308024,48+,6,1,1,1
Male,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,No,107.44200000000001,48.55000000000018,0.018074868301036905,24-48,6,1,0,1
Female,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,No,114.42246376811593,80.89999999999964,0.010246797084285877,48+,8,1,0,0
Female,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,No,19.672115384615385,-50.84999999999991,-0.04970917444645379,48+,1,0,0,0
Male,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,No,103.97535211267606,-193.44999999999982,-0.026204747874970343,48+,6,1,0,1
Female,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,Yes,52.835,-23.649999999999977,-0.044761994889751064,0-12,3,1,1,0
Female,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,No,88.70952380952382,-28.149999999999864,-0.01511084867679417,12-24,4,1,0,0
Male,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,Yes,39.65,0.0,0.0,0-12,2,1,1,1
Male,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,No,16.854166666666668,-35.35000000000002,-0.17478368355995066,0-12,1,0,0,1
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,Yes,20.15,0.0,0.0,0-12,1,0,1,1
Female,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,No,60.432758620689654,30.90000000000009,0.008815725656899972,48+,4,1,0,0
Male,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,No,60.61836734693878,49.90000000000009,0.01679964986701683,48+,4,1,0,1
Female,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,No,51.019999999999996,-128.4000000000001,-0.08388867110936894,24-48,3,1,0,0
Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,Yes,101.04574468085106,79.69999999999982,0.016781950454291785,24-48,5,1,1,1
Male,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,Yes,30.2,0.0,0.0,0-12,1,1,1,1
Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,No,88.46458333333334,-128.55000000000018,-0.02018227633469141,48+,8,1,0,1
Female,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,Yes,64.3,-6.800000000000182,-0.006220839813374972,12-24,3,1,1,0
Female,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,No,95.30915492957746,-73.89999999999964,-0.010920724994273585,48+,6,1,0,0
Male,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,No,90.825,-9.349999999999994,-0.051472612166253755,0-12,4,1,0,1
Female,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,No,69.42407407407407,88.39999999999986,0.04716050041345454,24-48,5,1,0,0
Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,No,20.2,0.0,0.0,0-12,1,0,0,1
Male,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,No,45.25,0.0,0.0,0-12,1,1,0,1
Female,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,No,100.71805555555555,58.899999999999636,0.008122233407338919,48+,6,1,0,0
Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,Yes,63.379999999999995,-31.600000000000023,-0.09971599873777225,0-12,1,1,1,1
Female,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,No,77.13695652173914,107.50000000000045,0.030296198179409983,24-48,2,1,0,0
Male,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,Yes,104.38970588235294,-66.64999999999964,-0.018778615200394345,24-48,6,1,1,1
Female,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,Yes,100.4909090909091,29.050000000000182,0.026280079609191407,0-12,5,1,1,0
Male,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,No,47.57,-19.80000000000001,-0.04162287155770446,0-12,2,1,0,1
Female,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,No,69.605,28.350000000000364,0.005818547518138139,48+,5,1,0,0
Female,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,No,24.602941176470587,65.5,0.15660490137477584,12-24,1,0,0,0
Female,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,No,77.16587301587302,-169.09999999999945,-0.034783860782276785,48+,7,1,0,0
Female,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,No,75.49615384615385,-9.149999999999977,-0.009322940547149602,12-24,6,1,0,0
Female,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,No,79.72857142857143,-233.80000000000018,-0.059845905751657456,48+,3,1,0,0
Male,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,No,48.5,-1.5,-0.015463917525773196,0-12,2,1,0,1
Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,Yes,72.075,-17.150000000000006,-0.11897329171002431,0-12,2,1,1,0
Male,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,No,81.11153846153846,70.80000000000018,0.016786002181231965,48+,6,1,0,1
Female,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,No,61.6536231884058,-172.25,-0.040490350485414064,48+,5,1,0,0
Female,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,No,89.27325581395348,-42.0,-0.010941061543471181,24-48,4,1,0,0
Female,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,Yes,95.09333333333333,-60.09999999999991,-0.042134043746494605,12-24,5,1,1,0
Female,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,No,70.10600000000001,15.150000000000091,0.00864405329073123,24-48,5,1,0,0
Female,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,Yes,79.1625,-11.900000000000091,-0.018790462655929405,0-12,3,1,1,0
Female,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,No,74.27250000000001,-34.649999999999636,-0.007775421589417266,48+,6,1,0,0
Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,Yes,97.36388888888888,34.44999999999982,0.01965707112493214,12-24,4,1,1,1
Female,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,No,100.17777777777778,33.24999999999909,0.0052684117125109476,48+,5,1,0,0
Male,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,No,107.21742424242424,-81.34999999999945,-0.011496039624947812,48+,7,1,0,1
Female,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,No,26.302941176470586,46.0,0.05143687800514369,24-48,2,0,0,0
Female,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,No,109.07916666666667,113.69999999999982,0.014477252759845655,48+,6,1,0,0
Female,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,No,100.15106382978725,-16.399999999999636,-0.00348409848951576,24-48,5,1,0,0
Male,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,No,90.845,56.69999999999982,0.010402333645219848,48+,4,1,0,1
Male,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,No,41.138888888888886,-69.20000000000027,-0.02336259284267396,48+,3,1,0,1
Female,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,No,53.172222222222224,-22.09999999999991,-0.023090586145648215,12-24,3,1,0,0
Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,Yes,95.25,7.649999999999977,0.00892388451443567,0-12,4,1,1,0
Female,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,No,81.36666666666666,18.200000000000017,0.07455960671855803,0-12,5,1,0,0
Male,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,No,77.66702127659575,-57.95000000000027,-0.015875190050269227,24-48,3,1,0,1
Female,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,No,80.55483870967741,41.999999999999545,0.016818837097549073,24-48,6,1,0,0
Female,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,No,18.618,-76.59999999999991,-0.0822859598238263,48+,1,0,0,0
Male,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,No,88.735,88.85000000000002,0.10012959936890745,0-12,3,1,0,1
Male,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,No,49.05,0.0,0.0,0-12,2,1,0,1
Female,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,No,20.974038461538463,29.850000000000136,0.027369000137532788,48+,1,0,0,0
